"Contact Form","Formulario de Contacto"
"Add a contact form to your site","Agregar un formulario de contacto al sitio"
"Name","Nombre"
"Email","Email"
"Phone number","Número de teléfono"
"What’s on your mind?","¿Qué está en tu mente?"
"Submit","Enviar"
"Contact","Contacto"
"Thank you very much for your contact! You will get a response as soon as possible.","Muchas gracias por su contacto! Obtendrás una respuesta lo antes posible."
"An unexpected error has occurred. Please, try again in a few minutes.","Un error inesperado ha ocurrido. Por favor, intente nuevamente en unos minutos."
"Name is missing.","Falta el nombre."
"Comment is missing.","Falta el comentario."
"Invalid email address.","Email inválido."

